paper_group_id,source_arxiv_id,title,pdf_condition,local_source_folder,filename,expected_local_path,sha256,file_size_bytes,page_count_rough,intended_metadata_condition,redaction_status,repository_distribution,notes
BLINQ_QEC_001,2501.02513,Linear Optics to Scalable Photonic Quantum Computing,original_pdf,/Users/sophisong/Downloads/BLINQ_original_5_papers,2501.02513v1.pdf,/Users/sophisong/Downloads/BLINQ_original_5_papers/2501.02513v1.pdf,16f29d61fc33dbbba102087a301c8d20e66ef70acf755b879c69047b3edd1b1b,2341671,22,real_metadata,not_redacted_original,manifest_only_not_committed,Original PDF is used only for real_metadata OpenAI PDF evaluation.
BLINQ_QEC_001,2501.02513,Linear Optics to Scalable Photonic Quantum Computing,redacted_pdf,/Users/sophisong/Downloads/BLINQ_redacted_no_arxiv_filenames,BLINQ_QEC_001.pdf,/Users/sophisong/Downloads/BLINQ_redacted_no_arxiv_filenames/BLINQ_QEC_001.pdf,09bf41456bb1e7467ec0cf80ff0ac19c7c06f18658cec0945c8b19a78565c984,2280005,22,blinded;counterfactual_high_prestige,redacted_pdf_user_supplied,manifest_only_not_committed,Redacted PDF is used for blinded and counterfactual_high_prestige OpenAI PDF evaluation.
BLINQ_QALG_002,2301.02637,Quantum pricing-based column-generation framework for hard combinatorial problems,original_pdf,/Users/sophisong/Downloads/BLINQ_original_5_papers,2301.02637v2.pdf,/Users/sophisong/Downloads/BLINQ_original_5_papers/2301.02637v2.pdf,e1852324343604d7ec6c0d44c4bc93974278dbe42c5441c11a4782d10223f7b1,1049366,15,real_metadata,not_redacted_original,manifest_only_not_committed,Original PDF is used only for real_metadata OpenAI PDF evaluation.
BLINQ_QALG_002,2301.02637,Quantum pricing-based column-generation framework for hard combinatorial problems,redacted_pdf,/Users/sophisong/Downloads/BLINQ_redacted_no_arxiv_filenames,BLINQ_QALG_002.pdf,/Users/sophisong/Downloads/BLINQ_redacted_no_arxiv_filenames/BLINQ_QALG_002.pdf,4bcfba16fce48f3412235e864378b52d71d74768cace8f37011b51d3a8a0eedf,720788,15,blinded;counterfactual_high_prestige,redacted_pdf_user_supplied,manifest_only_not_committed,Redacted PDF is used for blinded and counterfactual_high_prestige OpenAI PDF evaluation.
BLINQ_QCOMM_003,2401.01727,Asymmetric mode-pairing quantum key distribution,original_pdf,/Users/sophisong/Downloads/BLINQ_original_5_papers,2401.01727v1.pdf,/Users/sophisong/Downloads/BLINQ_original_5_papers/2401.01727v1.pdf,6385af918856af847de731bfa0796dc3e70fbb3ccc6322917acc32c09cd1078c,935605,14,real_metadata,not_redacted_original,manifest_only_not_committed,Original PDF is used only for real_metadata OpenAI PDF evaluation.
BLINQ_QCOMM_003,2401.01727,Asymmetric mode-pairing quantum key distribution,redacted_pdf,/Users/sophisong/Downloads/BLINQ_redacted_no_arxiv_filenames,BLINQ_QCOMM_003.pdf,/Users/sophisong/Downloads/BLINQ_redacted_no_arxiv_filenames/BLINQ_QCOMM_003.pdf,21d244b20a1f5c2118694d1f17dc542b0bdea5b13b7ce6d484c71dc0392153fb,893215,14,blinded;counterfactual_high_prestige,redacted_pdf_user_supplied,manifest_only_not_committed,Redacted PDF is used for blinded and counterfactual_high_prestige OpenAI PDF evaluation.
BLINQ_QHW_004,2501.01185,Measurable Improvement in Multi-Qubit Readout Using a Kinetic Inductance Traveling Wave Parametric Amplifier,original_pdf,/Users/sophisong/Downloads/BLINQ_original_5_papers,2501.01185v1.pdf,/Users/sophisong/Downloads/BLINQ_original_5_papers/2501.01185v1.pdf,6f3686d5498945c0429f90796d0ca245080742abfa02868906ced742144a4576,2096119,5,real_metadata,not_redacted_original,manifest_only_not_committed,Original PDF is used only for real_metadata OpenAI PDF evaluation.
BLINQ_QHW_004,2501.01185,Measurable Improvement in Multi-Qubit Readout Using a Kinetic Inductance Traveling Wave Parametric Amplifier,redacted_pdf,/Users/sophisong/Downloads/BLINQ_redacted_no_arxiv_filenames,BLINQ_QHW_004.pdf,/Users/sophisong/Downloads/BLINQ_redacted_no_arxiv_filenames/BLINQ_QHW_004.pdf,e50c86e2ae81260899bcb7c0026ed7b94c65101c72938917583737d1171c6613,2012177,5,blinded;counterfactual_high_prestige,redacted_pdf_user_supplied,manifest_only_not_committed,Redacted PDF is used for blinded and counterfactual_high_prestige OpenAI PDF evaluation.
BLINQ_QIT_005,2401.02817,Generation of massively entangled bright states of light during harmonic generation in resonant media,original_pdf,/Users/sophisong/Downloads/BLINQ_original_5_papers,2401.02817v3.pdf,/Users/sophisong/Downloads/BLINQ_original_5_papers/2401.02817v3.pdf,5559ae0b8d4a50204fa21c5af7c79e82f208f229f3f8a3c6cd4811083aafa136,11064273,17,real_metadata,not_redacted_original,manifest_only_not_committed,Original PDF is used only for real_metadata OpenAI PDF evaluation.
BLINQ_QIT_005,2401.02817,Generation of massively entangled bright states of light during harmonic generation in resonant media,redacted_pdf,/Users/sophisong/Downloads/BLINQ_redacted_no_arxiv_filenames,BLINQ_QIT_005.pdf,/Users/sophisong/Downloads/BLINQ_redacted_no_arxiv_filenames/BLINQ_QIT_005.pdf,1beddce95524bd7a4a34f60b02bd48ff4378bf41dd1295abc3100aa606f6ab75,10992339,17,blinded;counterfactual_high_prestige,redacted_pdf_user_supplied,manifest_only_not_committed,Redacted PDF is used for blinded and counterfactual_high_prestige OpenAI PDF evaluation.
